fixture	nupic_dssim	tinypng_dssim
p261_3840x2560.png	0.000305	0.000548
p262_3840x2560.png	0.000000	0.000747
p263_3840x2560.png	0.000000	0.001840
p264_3840x2560.png	0.002252	0.002014
p265_3840x2560.png	0.000294	0.000481
p266_3840x2560.png	0.001322	0.001636
p267_3840x2560.png	0.002985	0.002054
p268_3840x2560.png	0.000927	0.001378
p269_3840x2560.png	0.000000	0.003334
p26_480x320.png	0.000953	0.001212
p270_3840x2560.png	0.000017	0.000789
p271_3840x2560.png	0.000318	0.000523
p272_3840x2560.png	0.005007	0.006158
p273_3840x2560.png	0.009007	0.010661
p274_3840x2560.png	0.000000	0.003084
p275_3840x2560.png	0.000382	0.000678
p276_3840x2560.png	0.000879	0.001056
p277_3840x2560.png	0.000000	0.001060
p278_3840x2560.png	0.000000	0.000630
p279_3840x2560.png	0.000775	0.001206
p27_480x320.png	0.001359	0.000779
p280_3840x2560.png	0.000000	0.002931
p281_3840x2560.png	0.000000	0.001942
p282_3840x2560.png	0.000008	0.000305
p283_3840x2560.png	0.000000	0.000630
p284_3840x2560.png	0.001207	0.001061
p285_3840x2560.png	0.001134	0.001858
p286_3840x2560.png	0.000005	0.000159
p287_3840x2560.png	0.000000	0.001061
p288_3840x2560.png	0.000945	0.000975
p289_3840x2560.png	0.001006	0.001340
p28_480x320.png	0.000550	0.000808
p290_3840x2560.png	0.000016	0.000230
p291_3840x2560.png	0.000000	0.002458
p292_3840x2560.png	0.000000	0.000489
p293_3840x2560.png	0.001546	0.001613
p294_3840x2560.png	0.001423	0.001967
p295_3840x2560.png	0.000000	0.002076
p296_3840x2560.png	0.003930	0.005163
p297_3840x2560.png	0.000043	0.000452
p298_3840x2560.png	0.004337	0.004291
p299_3840x2560.png	0.000000	0.000436
p29_480x320.png	0.002414	0.001656
p2_480x320.png	0.003141	0.003760
p30_480x320.png	0.000121	0.000928
p31_480x320.png	0.000161	0.000244
p32_480x320.png	0.002291	0.002654
p33_480x320.png	0.003925	0.004561
p34_480x320.png	0.004352	0.002398
p35_480x320.png	0.000253	0.000300
p36_480x320.png	0.000486	0.000613
p37_480x320.png	0.000725	0.000907
p38_480x320.png	0.000385	0.000393
p39_480x320.png	0.000430	0.000540
p3_480x320.png	0.005254	0.005903
p400_sm_380x260.png	0.002877	0.004576
p401_sm_460x320.png	0.002731	0.002984
p402_sm_540x380.png	0.003224	0.003579
p403_sm_620x200.png	0.002733	0.003618
p404_sm_300x260.png	0.001789	0.002714
p405_sm_380x320.png	0.007307	0.007468
p406_sm_460x380.png	0.001864	0.002330
p407_sm_540x200.png	0.000760	0.000763
p408_sm_620x260.png	0.000524	0.000771
p409_sm_300x320.png	0.000593	0.000544
p40_480x320.png	0.000588	0.000891
p410_sm_380x380.png	0.000460	0.000571
p411_sm_460x200.png	0.000720	0.001123
p412_sm_540x260.png	0.000731	0.000942
p413_sm_620x320.png	0.000436	0.000590
p414_sm_300x380.png	0.000589	0.000786
p415_sm_380x200.png	0.000624	0.000754
p416_sm_460x260.png	0.000993	0.001151
p417_sm_540x320.png	0.001807	0.001504
p418_sm_620x380.png	0.001424	0.001488
p419_sm_300x200.png	0.000789	0.000868
p41_480x320.png	0.001229	0.001276
p420_sm_380x260.png	0.007764	0.008254
p421_sm_460x320.png	0.000190	0.000260
p422_sm_540x380.png	0.000454	0.000849
p423_sm_620x200.png	0.000962	0.001029
p424_sm_300x260.png	0.000169	0.000229
p425_sm_380x320.png	0.000214	0.000280
p426_sm_460x380.png	0.000883	0.001289
p427_sm_540x200.png	0.001370	0.000644
p428_sm_620x260.png	0.000383	0.000643
p429_sm_300x320.png	0.001197	0.000812
p42_480x320.png	0.000050	0.000140
p430_sm_380x380.png	0.000136	0.000823
p431_sm_460x200.png	0.000108	0.000163
p432_sm_540x260.png	0.002474	0.002987
p433_sm_620x320.png	0.003897	0.004774
p434_sm_300x380.png	0.003275	0.001927
p435_sm_380x200.png	0.000201	0.000257
p436_sm_460x260.png	0.000477	0.000609
p437_sm_540x320.png	0.000567	0.000801
p438_sm_620x380.png	0.000000	0.000412
p439_sm_300x200.png	0.000355	0.000416
p43_480x320.png	0.000072	0.000293
p440_sm_380x260.png	0.000503	0.000796
p441_sm_460x320.png	0.001181	0.001248
p442_sm_540x380.png	0.000050	0.000141
p443_sm_620x200.png	0.000064	0.000248
p444_sm_300x260.png	0.000751	0.000890
p445_sm_380x320.png	0.000657	0.001106
p446_sm_460x380.png	0.000035	0.000095
p447_sm_540x200.png	0.000562	0.000593
p448_sm_620x260.png	0.000379	0.000445
p449_sm_300x320.png	0.000390	0.000456
p44_480x320.png	0.000756	0.000922
p45_480x320.png	0.000652	0.001126
p46_480x320.png	0.000005	0.000090
p47_480x320.png	0.000740	0.000787
p48_480x320.png	0.000381	0.000497
p49_480x320.png	0.000758	0.000847
p4_480x320.png	0.002102	0.003202
p50_480x320.png	0.000035	0.000104
p51_480x320.png	0.000768	0.000800
p52_480x320.png	0.000350	0.000435
p53_480x320.png	0.000883	0.000961
p54_480x320.png	0.001114	0.001144
p55_480x320.png	0.001811	0.001790
p56_480x320.png	0.001656	0.002436
p57_480x320.png	0.000043	0.000158
p58_480x320.png	0.002917	0.002346
p59_480x320.png	0.000290	0.000309
p5_480x320.png	0.006866	0.008583
p60_1024x768.png	0.004375	0.007327
p61_1024x768.png	0.003371	0.003119
p62_1024x768.png	0.003905	0.004724
p63_1024x768.png	0.007149	0.006507
p64_1024x768.png	0.002865	0.003442
p65_1024x768.png	0.008486	0.008849
p66_1024x768.png	0.002914	0.003155
p67_1024x768.png	0.001224	0.001123
p68_1024x768.png	0.000768	0.000808
p69_1024x768.png	0.000830	0.000676
p6_480x320.png	0.001598	0.002102
p70_1024x768.png	0.000607	0.000737
p71_1024x768.png	0.001024	0.001762
p72_1024x768.png	0.000703	0.000904
p73_1024x768.png	0.000506	0.000739
p74_1024x768.png	0.000679	0.000957
p75_1024x768.png	0.001170	0.001492
p76_1024x768.png	0.001436	0.001294
p77_1024x768.png	0.002612	0.002117
p78_1024x768.png	0.002055	0.001696
p79_1024x768.png	0.000926	0.001098
p7_480x320.png	0.001061	0.000989
p80_1024x768.png	0.008997	0.009618
