fixture	nupic_ssim	tinypng_ssim
p403_sm_620x200.png	78.8323	77.1832
p404_sm_300x260.png	80.6252	79.8612
p405_sm_380x320.png	77.8639	77.6215
p406_sm_460x380.png	81.7186	76.5874
p407_sm_540x200.png	86.8878	85.9771
p408_sm_620x260.png	84.9205	84.0833
p409_sm_300x320.png	84.9500	81.1189
p40_480x320.png	81.9541	78.5998
p410_sm_380x380.png	86.4402	83.5264
p411_sm_460x200.png	85.5595	84.7318
p412_sm_540x260.png	82.7412	79.0106
p413_sm_620x320.png	85.2012	83.8758
p414_sm_300x380.png	82.4788	80.3649
p415_sm_380x200.png	83.4703	80.0815
p416_sm_460x260.png	81.1254	78.4024
p417_sm_540x320.png	78.4262	74.3215
p418_sm_620x380.png	81.6569	74.4517
p419_sm_300x200.png	81.1820	79.7486
p41_480x320.png	77.2012	77.1436
p420_sm_380x260.png	76.1647	76.4953
p421_sm_460x320.png	86.0935	86.1621
p422_sm_540x380.png	87.7926	86.4721
p423_sm_620x200.png	85.4414	83.8480
p424_sm_300x260.png	85.4836	85.2143
p425_sm_380x320.png	87.6092	88.1663
p426_sm_460x380.png	81.7811	79.0867
p427_sm_540x200.png	82.7220	83.5594
p428_sm_620x260.png	85.8483	84.1342
p429_sm_300x320.png	79.9646	81.5282
p42_480x320.png	95.8699	91.5608
p430_sm_380x380.png	94.7273	91.2933
p431_sm_460x200.png	89.2860	88.8853
p432_sm_540x260.png	80.2108	80.3820
p433_sm_620x320.png	73.6629	78.7962
p434_sm_300x380.png	74.1248	73.9375
p435_sm_380x200.png	87.0988	85.7190
p436_sm_460x260.png	82.3959	82.2695
p437_sm_540x320.png	83.4869	80.5287
p438_sm_620x380.png	100.0000	82.0727
p439_sm_300x200.png	85.3667	85.0139
p43_480x320.png	92.6091	87.1488
p440_sm_380x260.png	83.8458	81.1270
p441_sm_460x320.png	77.3199	77.5516
p442_sm_540x380.png	95.6624	91.9114
p443_sm_620x200.png	93.0933	86.7095
p444_sm_300x260.png	82.3734	78.1540
p445_sm_380x320.png	81.7416	78.6787
p446_sm_460x380.png	94.8059	92.1594
p447_sm_540x200.png	83.0274	83.1579
p448_sm_620x260.png	80.5587	80.5224
p449_sm_300x320.png	83.7932	84.2706
p44_480x320.png	82.4372	76.6514
p45_480x320.png	80.9776	77.4486
p46_480x320.png	97.3424	92.0311
p47_480x320.png	81.8344	81.7613
p48_480x320.png	79.4398	79.8086
p49_480x320.png	83.6012	82.9055
p4_480x320.png	77.3645	77.6937
p50_480x320.png	95.2006	94.0918
p51_480x320.png	78.9469	81.7181
p52_480x320.png	83.8901	81.1101
p53_480x320.png	79.5393	78.6951
p54_480x320.png	77.3681	76.4309
p55_480x320.png	73.9391	72.5900
p56_480x320.png	75.9118	73.8809
p57_480x320.png	95.3891	93.1729
p58_480x320.png	82.0451	79.8332
p59_480x320.png	88.0024	87.8404
p5_480x320.png	77.3260	76.8369
p60_1024x768.png	72.5170	71.7560
p61_1024x768.png	81.1055	79.8200
p62_1024x768.png	72.2268	69.8179
p63_1024x768.png	67.1073	68.9974
p64_1024x768.png	72.5429	73.1736
p65_1024x768.png	67.9915	70.0957
p66_1024x768.png	74.9172	72.3483
p67_1024x768.png	79.5032	79.0336
p68_1024x768.png	81.9276	81.5648
p69_1024x768.png	80.8360	76.0115
p6_480x320.png	82.4250	76.6393
p70_1024x768.png	82.8172	80.3041
p71_1024x768.png	80.7524	80.1118
p72_1024x768.png	81.4292	76.7067
p73_1024x768.png	83.6289	82.7266
p74_1024x768.png	82.2260	77.4104
p75_1024x768.png	77.8328	74.8509
p76_1024x768.png	73.7887	74.1620
p77_1024x768.png	77.7689	69.4853
p78_1024x768.png	79.1214	71.8685
p79_1024x768.png	72.8648	70.3047
p7_480x320.png	84.4774	83.8584
p80_1024x768.png	76.6731	69.9049
p81_1024x768.png	83.1229	82.4210
p82_1024x768.png	86.4043	84.9596
p83_1024x768.png	100.0000	82.3623
p84_1024x768.png	78.1545	81.6961
p85_1024x768.png	85.3335	85.0416
p86_1024x768.png	80.1946	76.0715
p87_1024x768.png	73.0773	76.3833
p88_1024x768.png	82.1583	80.6215
p89_1024x768.png	72.2666	74.7982
p8_480x320.png	85.2939	84.3540
p90_1024x768.png	92.6765	85.4574
p91_1024x768.png	86.1269	84.8730
p92_1024x768.png	74.7421	73.9468
p93_1024x768.png	72.9179	76.2808
p94_1024x768.png	65.5981	66.8877
p95_1024x768.png	80.7018	82.4464
p96_1024x768.png	81.7064	79.9096
p97_1024x768.png	80.7820	75.8540
p98_1024x768.png	100.0000	79.2986
p99_1024x768.png	81.2770	80.2512
p9_480x320.png	84.1428	80.5413
s000_gradient_1084x959.png	93.3298	100.0000
s001_gradient_1461x635.png	100.0000	89.0188
s002_gradient_1592x927.png	93.8359	86.5660
s003_gradient_2298x2088.png	90.9244	100.0000
s004_gradient_1546x574.png	100.0000	89.7983
s005_gradient_1267x606.png	94.0451	88.6048
s006_gradient_1306x1113.png	94.9119	100.0000
s007_gradient_575x1620.png	93.4403	83.5027
