fixture	input_size	nupic_size	tinypng_size	ratio_n_over_t
p268_3840x2560.png	15424410	6524330	6575059	0.9923
p269_3840x2560.png	4359049	3062586	2558661	1.1969
p26_480x320.png	216689	63924	75099	0.8512
p270_3840x2560.png	3621574	1860066	1620169	1.1481
p271_3840x2560.png	12117899	5964231	6056942	0.9847
p272_3840x2560.png	8713849	2936358	3359693	0.8740
p273_3840x2560.png	15102433	4553394	4585387	0.9930
p274_3840x2560.png	5570778	4117965	2502418	1.6456
p275_3840x2560.png	7847702	3285879	3467044	0.9477
p276_3840x2560.png	6680892	2347783	2512588	0.9344
p277_3840x2560.png	5559650	3349989	2735821	1.2245
p278_3840x2560.png	1992090	1189971	1416020	0.8404
p279_3840x2560.png	10975552	4658087	4584044	1.0162
p27_480x320.png	337596	102666	117337	0.8750
p280_3840x2560.png	6275619	4239486	3193108	1.3277
p281_3840x2560.png	5408653	3780901	2568607	1.4720
p282_3840x2560.png	4681268	2632509	2310666	1.1393
p283_3840x2560.png	3469535	2305125	1384038	1.6655
p284_3840x2560.png	7060712	2140585	2937743	0.7286
p285_3840x2560.png	9489395	2939392	3065909	0.9587
p286_3840x2560.png	4601176	2571289	2111834	1.2176
p287_3840x2560.png	4057647	2629124	2126479	1.2364
p288_3840x2560.png	4023260	1371451	2223292	0.6169
p289_3840x2560.png	12563509	5304474	4966272	1.0681
p28_480x320.png	272453	102845	111664	0.9210
p290_3840x2560.png	10030331	5862928	5218855	1.1234
p291_3840x2560.png	3242479	1945364	1993711	0.9758
p292_3840x2560.png	3668805	2149476	2235569	0.9615
p293_3840x2560.png	8874033	3009595	3187205	0.9443
p294_3840x2560.png	17524273	6734014	6140461	1.0967
p295_3840x2560.png	4912279	3233455	2287400	1.4136
p296_3840x2560.png	10292466	3323408	3705815	0.8968
p297_3840x2560.png	5717502	3168480	2787545	1.1367
p298_3840x2560.png	9269432	2941435	3710544	0.7927
p299_3840x2560.png	2708242	1694471	1429089	1.1857
p29_480x320.png	196033	47680	66800	0.7138
p2_480x320.png	173357	41444	54677	0.7580
p30_480x320.png	67652	29540	28838	1.0243
p31_480x320.png	215242	98171	113271	0.8667
p32_480x320.png	197003	60687	73893	0.8213
p33_480x320.png	340963	96745	110748	0.8736
p34_480x320.png	209769	48707	63502	0.7670
p35_480x320.png	179990	67779	84492	0.8022
p36_480x320.png	183757	57213	70164	0.8154
p37_480x320.png	149885	43717	59744	0.7317
p38_480x320.png	99849	26717	40954	0.6524
p39_480x320.png	198284	78710	86606	0.9088
p3_480x320.png	181316	40825	54748	0.7457
p400_sm_380x260.png	125758	34045	39784	0.8557
p401_sm_460x320.png	178526	51791	59202	0.8748
p402_sm_540x380.png	214864	50703	69489	0.7297
p403_sm_620x200.png	141908	33199	47203	0.7033
p404_sm_300x260.png	101811	25492	31982	0.7971
p405_sm_380x320.png	140780	29726	42507	0.6993
p406_sm_460x380.png	241578	65560	77122	0.8501
p407_sm_540x200.png	131695	46849	52976	0.8843
p408_sm_620x260.png	190366	63584	75204	0.8455
p409_sm_300x320.png	128330	43255	48241	0.8966
p40_480x320.png	241314	71012	86195	0.8239
p410_sm_380x380.png	139818	46503	56607	0.8215
p411_sm_460x200.png	122697	36384	43838	0.8300
p412_sm_540x260.png	216945	70929	77017	0.9210
p413_sm_620x320.png	224771	84322	98291	0.8579
p414_sm_300x380.png	232930	82779	89178	0.9282
p415_sm_380x200.png	86011	26528	33702	0.7871
p416_sm_460x260.png	222365	73028	80765	0.9042
p417_sm_540x320.png	283441	78710	90947	0.8654
p418_sm_620x380.png	465299	138481	146028	0.9483
p419_sm_300x200.png	97725	27673	33480	0.8266
p41_480x320.png	199283	51735	70854	0.7302
p420_sm_380x260.png	177023	49236	59096	0.8332
p421_sm_460x320.png	207592	90362	116379	0.7764
p422_sm_540x380.png	172151	54514	79464	0.6860
p423_sm_620x200.png	109703	28962	39234	0.7382
p424_sm_300x260.png	147617	51362	56776	0.9046
p425_sm_380x320.png	134288	50890	71852	0.7083
p426_sm_460x380.png	237514	72068	84334	0.8546
p427_sm_540x200.png	250086	86278	93532	0.9224
p428_sm_620x260.png	315253	123017	135607	0.9072
p429_sm_300x320.png	125042	33994	44935	0.7565
p42_480x320.png	125274	65631	61086	1.0744
p430_sm_380x380.png	65725	29044	27030	1.0745
p431_sm_460x200.png	128734	58485	70031	0.8351
p432_sm_540x260.png	186046	57316	73390	0.7810
p433_sm_620x320.png	431820	109216	141230	0.7733
p434_sm_300x380.png	153437	34235	45400	0.7541
p435_sm_380x200.png	104016	38311	49143	0.7796
p436_sm_460x260.png	143642	45049	55435	0.8126
p437_sm_540x320.png	167337	48573	70932	0.6848
p438_sm_620x380.png	138025	85063	58444	1.4555
p439_sm_300x200.png	85198	34132	39866	0.8562
