fixture	family	pile	nupic_size	tiny_size	size_ratio	nupic_dssim	tiny_dssim	dssim_delta
s004_gradient_1546x574.png	s	PileA	2643	2925	0.9036	0.000000	0.000058	-0.000058
s005_gradient_1267x606.png	s	PileA	43020	51833	0.8300	0.000022	0.000091	-0.000069
s006_gradient_1306x1113.png	s	PileB	3668	8292	0.4424	0.000001	0.000000	+0.000001
s007_gradient_575x1620.png	s	PASS	4446	6558	0.6780	0.000033	0.000219	-0.000186
s008_gradient_851x1764.png	s	PASS	38521	64993	0.5927	0.000002	0.000052	-0.000050
s009_gradient_782x748.png	s	PileB	2499	4104	0.6089	0.000021	0.000000	+0.000021
s010_gradient_1689x1549.png	s	PileB	6325	13982	0.4524	0.000028	0.000000	+0.000028
s011_gradient_2345x2127.png	s	PASS	124343	191227	0.6502	0.000000	0.000185	-0.000185
s012_gradient_2267x2091.png	s	PASS	9780	23623	0.4140	0.000000	0.000000	+0.000000
s013_gradient_738x576.png	s	PASS	2292	3262	0.7026	0.000000	0.000000	+0.000000
s014_gradient_1019x1768.png	s	PASS	75762	126419	0.5993	0.000032	0.000069	-0.000037
s015_gradient_1880x2181.png	s	PileB	9418	21275	0.4427	0.000035	0.000000	+0.000035
s016_gradient_1081x1662.png	s	PASS	5414	9687	0.5589	0.000032	0.000091	-0.000059
s017_gradient_1023x1665.png	s	PASS	60623	86722	0.6990	0.000021	0.000519	-0.000498
s018_gradient_1722x675.png	s	PASS	2967	6281	0.4724	0.000000	0.000000	+0.000000
s019_gradient_2029x1022.png	s	PASS	4327	10584	0.4088	0.000000	0.000000	+0.000000
s020_gradient_1779x874.png	s	PASS	62486	105710	0.5911	0.000030	0.000088	-0.000058
s021_gradient_1369x1631.png	s	PASS	6225	12595	0.4942	0.000000	0.000000	+0.000000
s022_gradient_1285x532.png	s	PileA	2516	2571	0.9786	0.000019	0.000037	-0.000018
s023_gradient_995x1142.png	s	PASS	43671	72311	0.6039	0.000016	0.000164	-0.000148
s024_gradient_818x1299.png	s	PileB	4192	7425	0.5646	0.000022	0.000000	+0.000022
s025_noise_400x300.png	s	PileA	115197	119618	0.9630	0.000140	0.000212	-0.000072
s026_noise_500x380.png	s	PileA	188341	188431	0.9995	0.000256	0.000457	-0.000201
s027_noise_600x460.png	s	PileA	273738	273000	1.0027	0.000426	0.000749	-0.000323
s028_noise_700x540.png	s	PileA	374819	373261	1.0042	0.000632	0.001101	-0.000469
s029_noise_800x620.png	s	PileA	443549	489387	0.9063	0.001346	0.001488	-0.000142
s030_noise_900x700.png	s	PileA	562641	621758	0.9049	0.001749	0.001920	-0.000171
s031_noise_1000x780.png	s	PileA	697621	770535	0.9054	0.002218	0.002315	-0.000097
s032_noise_1100x860.png	s	PileA	847065	935786	0.9052	0.002724	0.002729	-0.000005
s033_noise_1200x940.png	s	PileC	1010932	1118644	0.9037	0.003145	0.003039	+0.000106
s034_noise_1300x1020.png	s	PileC	1188122	1317528	0.9018	0.003622	0.003223	+0.000399
s035_noise_1400x1100.png	s	PileC	1381717	1532886	0.9014	0.003931	0.003360	+0.000571
s036_noise_1500x1180.png	s	PileC	1590795	1764860	0.9014	0.004274	0.003411	+0.000863
s037_noise_1600x1260.png	s	PileC	1812035	2014224	0.8996	0.004423	0.003393	+0.001030
s038_noise_1700x1340.png	s	PileC	2048487	2279270	0.8987	0.004539	0.003326	+0.001213
s039_noise_1800x1420.png	s	PileC	2298440	2558581	0.8983	0.004480	0.003319	+0.001161
s040_stripes_p2.png	s	PileA	197	197	1.0000	0.000000	0.000000	+0.000000
s041_stripes_p5.png	s	PileA	203	203	1.0000	0.000000	0.000000	+0.000000
s042_stripes_p8.png	s	PileA	195	195	1.0000	0.000000	0.000000	+0.000000
s043_stripes_p11.png	s	PileA	209	209	1.0000	0.000000	0.000000	+0.000000
s044_stripes_p14.png	s	PileA	204	203	1.0049	0.000000	0.000000	+0.000000
s045_stripes_p17.png	s	PileA	213	213	1.0000	0.000000	0.000000	+0.000000
s046_stripes_p20.png	s	PileA	199	199	1.0000	0.000000	0.000000	+0.000000
s047_stripes_p23.png	s	PileA	215	215	1.0000	0.000000	0.000000	+0.000000
s048_stripes_p26.png	s	PileA	207	207	1.0000	0.000000	0.000000	+0.000000
s049_stripes_p29.png	s	PileA	219	219	1.0000	0.000000	0.000000	+0.000000
s050_stripes_p32.png	s	PASS	147	200	0.7350	0.000000	0.000000	+0.000000
s051_stripes_p35.png	s	PileA	221	220	1.0045	0.000000	0.000000	+0.000000
s052_stripes_p38.png	s	PileA	209	209	1.0000	0.000000	0.000000	+0.000000
s053_stripes_p41.png	s	PileA	219	219	1.0000	0.000000	0.000000	+0.000000
s054_stripes_p44.png	s	PileA	203	203	1.0000	0.000000	0.000000	+0.000000
s055_solid.png	s	PileA	98	98	1.0000	0.000000	0.000000	+0.000000
s056_solid.png	s	PileA	99	100	0.9900	0.000000	0.000000	+0.000000
s057_solid.png	s	PileA	103	103	1.0000	0.000000	0.000000	+0.000000
s058_solid.png	s	PileA	105	105	1.0000	0.000000	0.000000	+0.000000
s059_solid.png	s	PileA	108	108	1.0000	0.000000	0.000000	+0.000000
s060_solid.png	s	PileA	111	111	1.0000	0.000000	0.000000	+0.000000
s061_solid.png	s	PileA	115	115	1.0000	0.000000	0.000000	+0.000000
s062_solid.png	s	PileA	119	119	1.0000	0.000000	0.000000	+0.000000
s063_solid.png	s	PileA	122	122	1.0000	0.000000	0.000000	+0.000000
s064_solid.png	s	PileA	128	128	1.0000	0.000000	0.000000	+0.000000
s065_text.png	s	PileA	4205	3811	1.1034	0.000006	0.000009	-0.000003
s066_text.png	s	PileA	4027	3673	1.0964	0.000005	0.000008	-0.000003
s067_text.png	s	PileA	4103	3795	1.0812	0.000005	0.000008	-0.000003
s068_text.png	s	PileA	4216	3836	1.0991	0.000005	0.000007	-0.000002
s069_text.png	s	PileA	4075	3714	1.0972	0.000006	0.000009	-0.000003
s070_text.png	s	PileA	4151	3776	1.0993	0.000006	0.000008	-0.000002
s071_text.png	s	PileA	4217	3814	1.1057	0.000006	0.000008	-0.000002
s072_text.png	s	PileA	4142	3740	1.1075	0.000006	0.000008	-0.000002
s073_text.png	s	PileA	4174	3882	1.0752	0.000005	0.000007	-0.000002
s074_text.png	s	PileA	4163	3872	1.0752	0.000006	0.000007	-0.000001
s075_text.png	s	PileA	4300	3882	1.1077	0.000005	0.000007	-0.000002
s076_text.png	s	PileA	4058	3730	1.0879	0.000007	0.000008	-0.000001
s077_text.png	s	PileA	4163	3884	1.0718	0.000006	0.000007	-0.000001
