fixture	pile	c107_size	c107_dssim	tiny_size	tiny_dssim	size_ratio	dssim_delta	size_pass	dssim_pass	both_pass
p1_480x320.png	PileC	52935	0.002875	61574	0.002772	0.8597	+0.000103	N	N	N
p247_3840x2560.png	PileC	2951806	0.001757	2934388	0.001866	1.0059	-0.000109	N	Y	N
p257_3840x2560.png	PileC	3882324	0.003495	3736202	0.002997	1.0391	+0.000498	N	N	N
p259_3840x2560.png	PileC	2923250	0.001240	3159465	0.001352	0.9252	-0.000112	N	Y	N
p267_3840x2560.png	PileC	5534502	0.003028	5691208	0.002054	0.9725	+0.000974	N	N	N
p409_sm_300x320.png	PileC	40060	0.000506	48241	0.000544	0.8304	-0.000038	N	Y	N
p427_sm_540x200.png	PileC	84831	0.001254	93532	0.000644	0.9070	+0.000610	N	N	N
p61_1024x768.png	PileC	186842	0.003514	234630	0.003119	0.7963	+0.000395	Y	N	N
p77_1024x768.png	PileC	293148	0.002722	350911	0.002117	0.8354	+0.000605	N	N	N
p7_480x320.png	PileC	69090	0.000933	70280	0.000989	0.9831	-0.000056	N	Y	N
p9_480x320.png	PileC	63269	0.000767	78259	0.000610	0.8085	+0.000157	N	N	N
s034_noise_1300x1020.png	PileC	1291925	0.002203	1317528	0.003223	0.9806	-0.001020	N	Y	N
s036_noise_1500x1180.png	PileC	1727342	0.002572	1764860	0.003411	0.9787	-0.000839	N	Y	N
s038_noise_1700x1340.png	PileC	2226953	0.002899	2279270	0.003326	0.9770	-0.000428	N	Y	N
wm00_!-tylewice-wiatrak-windmill-abri-20.png	PileC	4493997	0.000629	4546861	0.000916	0.9884	-0.000287	N	Y	N
wm10_Birds-1310600,_Wainuiomata,_Welling.png	PileC	4071062	0.002950	3956509	0.002417	1.0290	+0.000533	N	N	N
