fixture	pile	n_pixels	c_size	c_dssim	tiny_size	tiny_dssim	baseline_size	baseline_dssim	size_pass	dssim_pass	both	baseline_both	regression
p171_1920x1080.png	PileA	2073600	816901	0.000000	543270	0.002160	816901	0.000000	N	Y	N	N	
p172_1920x1080.png	PileA	2073600	811356	0.000000	647339	0.000452	811356	0.000000	N	Y	N	N	
p173_1920x1080.png	PASS	2073600	664076	0.000891	837756	0.001048	664076	0.000891	Y	Y	Y	Y	
p174_1920x1080.png	PileA	2073600	1246390	0.001199	1262596	0.001580	1246390	0.001199	N	Y	N	N	
p175_1920x1080.png	PileA	2073600	917795	0.000000	523233	0.001966	917795	0.000000	N	Y	N	N	
p176_1920x1080.png	PASS	2073600	789085	0.002832	998980	0.003493	789085	0.002832	Y	Y	Y	Y	
p177_1920x1080.png	PileA	2073600	762424	0.000058	782341	0.000207	762424	0.000058	N	Y	N	N	
p178_1920x1080.png	PileB	2073600	665144	0.003937	933197	0.002275	665144	0.003937	Y	N	N	N	
p179_1920x1080.png	PASS	2073600	314218	0.000342	460686	0.000356	314218	0.000342	Y	Y	Y	Y	
p17_480x320.png	PileC	153600	70622	0.001875	80667	0.001572	70622	0.001875	N	N	N	N	
p180_2400x1600.png	PASS	3840000	575222	0.005838	874923	0.007186	575222	0.005838	Y	Y	Y	Y	
p181_2400x1600.png	PileC	3840000	715362	0.004992	871705	0.004865	715362	0.004992	N	N	N	N	
p182_2400x1600.png	PileA	3840000	1448123	0.000000	872395	0.005048	1448123	0.000000	N	Y	N	N	
p183_2400x1600.png	PileA	3840000	1510513	0.000000	946607	0.008400	1510513	0.000000	N	Y	N	N	
p184_2400x1600.png	PASS	3840000	684038	0.003804	930943	0.003863	684038	0.003804	Y	Y	Y	Y	
p185_2400x1600.png	PileA	3840000	1259215	0.000000	846782	0.010896	1259215	0.000000	N	Y	N	N	
p186_2400x1600.png	PASS	3840000	721773	0.004110	1135984	0.004292	721773	0.004110	Y	Y	Y	Y	
p187_2400x1600.png	PileA	3840000	1193124	0.001426	1234609	0.001449	1193124	0.001426	N	Y	N	N	
p188_2400x1600.png	PileA	3840000	1362884	0.000908	1375445	0.001064	1362884	0.000908	N	Y	N	N	
p189_2400x1600.png	PileC	3840000	1737073	0.000971	1802278	0.000757	1737073	0.000971	N	N	N	N	
p18_480x320.png	PileC	153600	90441	0.001589	102262	0.001434	90441	0.001589	N	N	N	N	
p190_2400x1600.png	PileA	3840000	1545348	0.000681	1580025	0.000878	1545348	0.000681	N	Y	N	N	
p191_2400x1600.png	PileA	3840000	1152148	0.001179	1275620	0.002186	1152148	0.001179	N	Y	N	N	
p192_2400x1600.png	PileA	3840000	2097172	0.001104	2284218	0.001257	2097172	0.001104	N	Y	N	N	
p193_2400x1600.png	PileA	3840000	1666732	0.001054	1749527	0.001110	1666732	0.001054	N	Y	N	N	
p194_2400x1600.png	PileA	3840000	2141245	0.000848	2201631	0.001191	2141245	0.000848	N	Y	N	N	
p195_2400x1600.png	PileA	3840000	1447241	0.001348	1474376	0.001965	1447241	0.001348	N	Y	N	N	
p196_2400x1600.png	PileC	3840000	2295499	0.001748	2507911	0.001742	2295499	0.001748	N	Y	N	N	
p197_2400x1600.png	PileC	3840000	1749433	0.003264	1671726	0.002797	1749433	0.003264	N	N	N	N	
p198_2400x1600.png	PileC	3840000	1600202	0.003152	1715226	0.002368	1600202	0.003152	N	N	N	N	
